time,station_id,part_id,activity
2025-09-05T12:36:20.357863,station52,p5,PASS
2025-09-05T12:36:20.546129,splitter1,p10,RETURN
2025-09-05T12:36:20.823834,station21,p8,TRANSFER
2025-09-05T12:36:21.015390,station22,p8,PASS
2025-09-05T12:36:21.189260,station51,p5,TRANSFER
2025-09-05T12:36:21.669512,station21,p3,PASS
2025-09-05T12:36:23.463473,splitter1,p10,TRANSFER
2025-09-05T12:36:23.506365,station11,p11,UNLOAD
2025-09-05T12:36:23.794610,station52,p5,TRANSFER
2025-09-05T12:36:23.805868,station51,p4,LOAD
2025-09-05T12:36:24.332230,station22,p8,TRANSFER
2025-09-05T12:36:24.504608,station41,p4,TRANSFER
2025-09-05T12:36:24.986281,station21,p3,TRANSFER
2025-09-05T12:36:25.336546,station41,p2,LOAD
2025-09-05T12:36:25.382706,splitter3,p5,RETURN
2025-09-05T12:36:26.711139,station22,p3,PASS
2025-09-05T12:36:26.829729,splitter1,p8,FORWARD
2025-09-05T12:36:27.277286,station51,p4,PROCESS
2025-09-05T12:36:28.337454,station11,p11,TRANSFER
2025-09-05T12:36:28.387677,splitter3,p5,TRANSFER
2025-09-05T12:36:28.912113,station41,p2,PROCESS
2025-09-05T12:36:29.081480,station11,p12,LOAD
2025-09-05T12:36:29.736278,station41,p6,PASS
2025-09-05T12:36:30.041230,station22,p3,TRANSFER
2025-09-05T12:36:30.160618,corner2,p13,START
2025-09-05T12:36:30.183488,splitter1,p8,TRANSFER
2025-09-05T12:36:30.333203,station61,p1,UNLOAD
2025-09-05T12:36:30.494105,corner2,p13,RETURN
2025-09-05T12:36:31.065089,station21,p11,LOAD
2025-09-05T12:36:31.521367,splitter1,p3,RETURN
2025-09-05T12:36:31.707123,station31,p8,LOAD
2025-09-05T12:36:32.389039,corner2,p13,TRANSFER
2025-09-05T12:36:32.513131,station11,p12,PROCESS
2025-09-05T12:36:33.172468,station41,p6,TRANSFER
2025-09-05T12:36:33.340090,corner2,p14,START
2025-09-05T12:36:33.698068,corner2,p14,RETURN
2025-09-05T12:36:33.857203,splitter2,p10,RETURN
2025-09-05T12:36:34.403469,station21,p11,PROCESS
2025-09-05T12:36:34.453662,splitter1,p3,TRANSFER
2025-09-05T12:36:34.663991,station41,p2,UNLOAD
2025-09-05T12:36:34.750818,station51,p6,PASS
2025-09-05T12:36:34.974207,station31,p8,PROCESS
2025-09-05T12:36:35.575108,corner2,p14,TRANSFER
2025-09-05T12:36:35.977138,station61,p1,TRANSFER
2025-09-05T12:36:36.508591,corner2,p15,START
2025-09-05T12:36:36.783369,splitter2,p10,TRANSFER
2025-09-05T12:36:36.860004,corner2,p15,RETURN
2025-09-05T12:36:37.914652,station22,p9,UNLOAD
2025-09-05T12:36:38.163711,station51,p6,TRANSFER
2025-09-05T12:36:38.273363,station71,p1,LOAD
2025-09-05T12:36:38.752001,corner2,p15,TRANSFER
2025-09-05T12:36:39.711872,corner2,p16,START
2025-09-05T12:36:40.025108,station52,p7,UNLOAD
2025-09-05T12:36:40.030475,station51,p2,PASS
2025-09-05T12:36:40.065710,corner2,p16,RETURN
2025-09-05T12:36:40.505328,station41,p2,TRANSFER
2025-09-05T12:36:41.592125,station71,p1,PROCESS
2025-09-05T12:36:41.896442,station21,p10,PASS
2025-09-05T12:36:41.938976,corner2,p16,TRANSFER
2025-09-05T12:36:42.149691,splitter4,p5,RETURN
2025-09-05T12:36:43.442174,station51,p2,TRANSFER
2025-09-05T12:36:43.653406,station22,p9,TRANSFER
2025-09-05T12:36:43.770831,splitter1,p9,FORWARD
2025-09-05T12:36:44.048954,station11,p12,UNLOAD
2025-09-05T12:36:45.133551,splitter4,p5,TRANSFER
2025-09-05T12:36:45.233235,station21,p10,TRANSFER
2025-09-05T12:36:45.233285,splitter3,p7,RETURN
2025-09-05T12:36:45.499292,station31,p8,UNLOAD
2025-09-05T12:36:45.626692,splitter2,p3,FORWARD
2025-09-05T12:36:45.712937,station71,p1,UNLOAD
2025-09-05T12:36:45.846812,station52,p7,TRANSFER
2025-09-05T12:36:46.692414,station52,p6,PASS
2025-09-05T12:36:46.933879,station22,p10,LOAD
2025-09-05T12:36:47.123250,splitter1,p9,TRANSFER
2025-09-05T12:36:48.204313,splitter3,p7,TRANSFER
2025-09-05T12:36:48.798533,station11,p12,TRANSFER
2025-09-05T12:36:48.860267,station51,p4,UNLOAD
2025-09-05T12:36:48.978083,splitter2,p3,TRANSFER
2025-09-05T12:36:49.560224,station11,p13,LOAD
2025-09-05T12:36:50.109291,station52,p6,TRANSFER
2025-09-05T12:36:50.166887,station41,p5,LOAD
2025-09-05T12:36:50.217792,station22,p10,PROCESS
2025-09-05T12:36:50.930506,station52,p2,LOAD
2025-09-05T12:36:51.003022,corner1,p1,RETURN
2025-09-05T12:36:51.555691,station21,p12,PASS
2025-09-05T12:36:51.685083,splitter3,p6,RETURN
2025-09-05T12:36:51.787915,station71,p1,TRANSFER
2025-09-05T12:36:52.120175,station31,p8,TRANSFER
2025-09-05T12:36:52.844690,corner2,p3,START
2025-09-05T12:36:52.867936,station31,p9,LOAD
2025-09-05T12:36:52.909493,corner1,p1,TRANSFER
2025-09-05T12:36:53.006600,station11,p13,PROCESS
2025-09-05T12:36:53.195042,corner2,p3,RETURN
2025-09-05T12:36:53.560782,station41,p5,PROCESS
2025-09-05T12:36:54.392331,station41,p8,PASS
2025-09-05T12:36:54.518534,station52,p2,PROCESS
2025-09-05T12:36:54.561540,station41,p8,FAIL
2025-09-05T12:36:54.651404,splitter3,p6,TRANSFER
2025-09-05T12:36:54.862344,station21,p12,TRANSFER
2025-09-05T12:36:55.070011,corner2,p3,TRANSFER
2025-09-05T12:36:55.363960,station52,p4,PASS
2025-09-05T12:36:55.364021,station51,p4,TRANSFER
2025-09-05T12:36:56.224148,station31,p9,PROCESS
2025-09-05T12:36:56.563583,station22,p12,PASS
2025-09-05T12:36:57.840426,station41,p8,TRANSFER
2025-09-05T12:36:58.799191,station52,p4,TRANSFER
2025-09-05T12:36:59.393411,station51,p8,PASS
2025-09-05T12:36:59.905841,station22,p12,TRANSFER
2025-09-05T12:37:01.022703,splitter3,p4,FORWARD
2025-09-05T12:37:01.385782,splitter1,p12,RETURN
2025-09-05T12:37:01.694586,splitter4,p7,RETURN
2025-09-05T12:37:01.726843,splitter5,p1,CHECKOUT
2025-09-05T12:37:01.727467,splitter5,p1,FINISH
2025-09-05T12:37:02.110600,splitter5,p1,FORWARD
2025-09-05T12:37:02.805330,station51,p8,TRANSFER
2025-09-05T12:37:04.313233,splitter1,p12,TRANSFER
2025-09-05T12:37:04.355439,station52,p8,PASS
2025-09-05T12:37:04.440017,splitter3,p4,TRANSFER
2025-09-05T12:37:04.543901,station11,p13,UNLOAD
2025-09-05T12:37:04.700016,splitter4,p7,TRANSFER
2025-09-05T12:37:05.398083,splitter5,p1,TRANSFER
2025-09-05T12:37:05.900779,station61,p4,LOAD
2025-09-05T12:37:07.179639,station31,p9,UNLOAD
2025-09-05T12:37:07.777247,station52,p8,TRANSFER
2025-09-05T12:37:07.893801,station41,p5,UNLOAD
2025-09-05T12:37:08.206238,splitter4,p6,RETURN
2025-09-05T12:37:09.271967,station61,p4,PROCESS
2025-09-05T12:37:09.301592,station11,p13,TRANSFER
2025-09-05T12:37:09.375765,splitter3,p8,RETURN
2025-09-05T12:37:10.059125,station11,p14,LOAD
2025-09-05T12:37:11.208114,splitter4,p6,TRANSFER
2025-09-05T12:37:12.368526,splitter3,p8,TRANSFER
2025-09-05T12:37:13.216455,station51,p5,LOAD
2025-09-05T12:37:13.542474,station11,p14,PROCESS
2025-09-05T12:37:13.658482,station31,p9,TRANSFER
2025-09-05T12:37:13.745238,station41,p5,TRANSFER
2025-09-05T12:37:14.150605,station21,p11,UNLOAD
2025-09-05T12:37:14.566995,station41,p7,LOAD
2025-09-05T12:37:14.906726,splitter2,p12,RETURN
2025-09-05T12:37:16.055062,station52,p2,UNLOAD
2025-09-05T12:37:16.626645,station51,p5,PROCESS
2025-09-05T12:37:17.839843,splitter2,p12,TRANSFER
2025-09-05T12:37:18.041536,station41,p7,PROCESS
2025-09-05T12:37:18.886716,station41,p9,PASS
2025-09-05T12:37:19.544154,station22,p11,PASS
2025-09-05T12:37:19.641438,station21,p11,TRANSFER
2025-09-05T12:37:20.470123,station21,p13,LOAD
2025-09-05T12:37:21.199191,splitter4,p1,FORWARD
2025-09-05T12:37:21.556319,station52,p2,TRANSFER
2025-09-05T12:37:22.127036,splitter3,p2,FORWARD
2025-09-05T12:37:22.330469,station41,p9,TRANSFER
2025-09-05T12:37:22.873853,station22,p11,TRANSFER
2025-09-05T12:37:23.850679,station41,p7,UNLOAD
2025-09-05T12:37:23.865892,station51,p9,PASS
2025-09-05T12:37:23.911940,station21,p13,PROCESS
2025-09-05T12:37:24.629533,splitter4,p1,TRANSFER
2025-09-05T12:37:24.719992,station21,p12,PASS
2025-09-05T12:37:25.016470,splitter1,p11,FORWARD
2025-09-05T12:37:25.186570,station11,p14,UNLOAD
2025-09-05T12:37:25.553154,splitter3,p2,TRANSFER
2025-09-05T12:37:26.098883,splitter4,p8,RETURN
2025-09-05T12:37:27.287189,station51,p9,TRANSFER
2025-09-05T12:37:28.056936,station21,p12,TRANSFER
2025-09-05T12:37:28.366979,splitter1,p11,TRANSFER
2025-09-05T12:37:28.774250,station52,p9,PASS
2025-09-05T12:37:28.987270,station51,p7,PASS
2025-09-05T12:37:29.113154,splitter4,p8,TRANSFER
2025-09-05T12:37:29.459957,station41,p7,TRANSFER
2025-09-05T12:37:29.729869,station22,p10,UNLOAD
2025-09-05T12:37:29.747375,station31,p11,LOAD
2025-09-05T12:37:29.859918,station61,p4,UNLOAD
2025-09-05T12:37:30.046099,station11,p14,TRANSFER
2025-09-05T12:37:30.293980,station41,p6,LOAD
2025-09-05T12:37:30.789706,station11,p15,LOAD
2025-09-05T12:37:32.188005,station52,p9,TRANSFER
2025-09-05T12:37:32.406865,station51,p7,TRANSFER
